,Unnamed: 0,id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,x,y,z,cores
2,2,121948,https://dadosabertos.camara.leg.br/api/v2/deputados/121948,Adriano do Baldy,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,GO,56,http://www.camara.gov.br/internet/deputado/bandep/121948.jpg,0.2693116366863251,-0.2412644475698471,-0.0542295835912227,#008000
3,3,74646,https://dadosabertos.camara.leg.br/api/v2/deputados/74646,Aécio Neves,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MG,56,http://www.camara.gov.br/internet/deputado/bandep/74646.jpg,0.3042627871036529,-0.1701312959194183,0.1993417292833328,#1f77b4
4,4,141372,https://dadosabertos.camara.leg.br/api/v2/deputados/141372,Aelton Freitas,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,MG,56,http://www.camara.gov.br/internet/deputado/bandep/141372.jpg,0.2980543673038482,-0.2480339556932449,0.0836678966879844,#008000
5,5,204495,https://dadosabertos.camara.leg.br/api/v2/deputados/204495,Airton Faleiro,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,PA,56,http://www.camara.gov.br/internet/deputado/bandep/204495.jpg,0.3792897760868072,0.4126404821872711,0.0134866796433925,#d62728
6,6,204549,https://dadosabertos.camara.leg.br/api/v2/deputados/204549,AJ Albuquerque,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,CE,56,http://www.camara.gov.br/internet/deputado/bandep/204549.jpg,-0.2475808411836624,-0.1982301473617553,0.1877032667398452,#008000
9,9,204501,https://dadosabertos.camara.leg.br/api/v2/deputados/204501,Alencar Santana,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,SP,56,http://www.camara.gov.br/internet/deputado/bandep/204501.jpg,-0.2146150171756744,0.4944962561130523,0.1530223786830902,#d62728
10,10,160511,https://dadosabertos.camara.leg.br/api/v2/deputados/160511,Alessandro Molon,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,RJ,56,http://www.camara.gov.br/internet/deputado/bandep/160511.jpg,-0.1063300743699073,0.5117992758750916,0.0270541775971651,#90ee90
12,12,105534,https://dadosabertos.camara.leg.br/api/v2/deputados/105534,Alexandre Figueiredo,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,SE,56,http://www.camara.gov.br/internet/deputado/bandep/105534.jpg,-0.0211173631250858,-0.4260917007923126,0.4831913411617279,#660000
13,13,204544,https://dadosabertos.camara.leg.br/api/v2/deputados/204544,Alexandre Frota,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,56,http://www.camara.gov.br/internet/deputado/bandep/204544.jpg,0.3512915968894958,0.242958977818489,0.2068445533514022,#1f77b4
15,15,204503,https://dadosabertos.camara.leg.br/api/v2/deputados/204503,Alexandre Padilha,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,SP,56,http://www.camara.gov.br/internet/deputado/bandep/204503.jpg,0.2983345687389374,0.3607334196567535,0.1559768766164779,#d62728
18,18,178927,https://dadosabertos.camara.leg.br/api/v2/deputados/178927,Aliel Machado,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,PR,56,http://www.camara.gov.br/internet/deputado/bandep/178927.jpg,0.4740376770496368,0.2465027123689651,0.2323870360851287,#e377c2
20,20,204400,https://dadosabertos.camara.leg.br/api/v2/deputados/204400,Aline Sleutjes,PROS,https://dadosabertos.camara.leg.br/api/v2/partidos/36763,PR,56,http://www.camara.gov.br/internet/deputado/bandep/204400.jpg,0.0756072849035263,-0.2700419723987579,-0.1335770189762115,#ffa500
21,21,178881,https://dadosabertos.camara.leg.br/api/v2/deputados/178881,Aluisio Mendes,PSC,https://dadosabertos.camara.leg.br/api/v2/partidos/36833,MA,56,http://www.camara.gov.br/internet/deputado/bandep/178881.jpg,-0.1437865942716598,-0.2497466951608657,0.2882296741008758,#8c564b
22,22,74471,https://dadosabertos.camara.leg.br/api/v2/deputados/74471,André de Paula,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,PE,56,http://www.camara.gov.br/internet/deputado/bandep/74471.jpg,-0.4190621972084045,0.1283735334873199,0.0633275806903839,#660000
23,23,133439,https://dadosabertos.camara.leg.br/api/v2/deputados/133439,André Figueiredo,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,CE,56,http://www.camara.gov.br/internet/deputado/bandep/133439.jpg,0.1391362398862838,0.2748546004295349,0.3253245055675506,#32cd32
25,25,73696,https://dadosabertos.camara.leg.br/api/v2/deputados/73696,Angela Amin,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,SC,56,http://www.camara.gov.br/internet/deputado/bandep/73696.jpg,-0.2600453794002533,-0.0376224629580974,-0.1280091851949691,#008000
27,27,73433,https://dadosabertos.camara.leg.br/api/v2/deputados/73433,Arlindo Chinaglia,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,SP,56,http://www.camara.gov.br/internet/deputado/bandep/73433.jpg,0.034121785312891,0.5387666821479797,0.2966486513614654,#d62728
29,29,74090,https://dadosabertos.camara.leg.br/api/v2/deputados/74090,Átila Lins,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,AM,56,http://www.camara.gov.br/internet/deputado/bandep/74090.jpg,-0.2224828600883484,0.0755950286984443,-0.3553715944290161,#660000
30,30,204509,https://dadosabertos.camara.leg.br/api/v2/deputados/204509,Áurea Carolina,PSOL,https://dadosabertos.camara.leg.br/api/v2/partidos/36839,MG,56,http://www.camara.gov.br/internet/deputado/bandep/204509.jpg,0.1922039091587066,0.5858060717582703,-0.3115549683570862,#ffcc00
